"320","327","","20090401","0"
"329","905","","20230401","0"
"333","741","","20190401","0"
"339","740","","20190401","0"
"345","739","","20190401","1"
"361","740","","20190401","0"
"364","Z9D4Z","","20210401","0"
"367","809","","20190401","0"
"371","739","","20190401","1"
"372","809","","20190401","0"
"379","916","","20200401","0"
"382","U6Q5Z","","20210401","0"
"401","415","","19980401","0"
"401","416","","19980401","0"
"402","418","","19980401","0"
"402","417","","19980401","0"
"403","414","","19970401","0"
"403","413","","19970401","0"
"4AE02","5LH","","20020401","0"
"4AF84","5D7","","20010401","0"
"4AH48","5M1","","20020401","0"
"4AJ48","5C9","","20010401","0"
"4AP01","5M3","","20020401","0"
"4CC42","5EM","","20010401","0"
"4CJ51","5CQ","","20001001","0"
"4CR53","5KL","","20020401","0"
"4CX64","5M3","","20020401","0"
"4DD23","5KM","","20020401","0"
"4DD48","5L3","","20020401","0"
"4DF54","5LF","","20020401","0"
"4DH80","5A9","","20010401","0"
"4DJ54","5L3","","20020401","0"
"4DN04","5K9","","20020401","0"
"4DP19","5D7","","20010401","0"
"4EA27","5EM","","20010401","0"
"4ED35","5ET","","20010401","0"
"4EF26","5K5","","20020401","0"
"4EH97","5A4","","20010401","0"
"4EK66","5M2","","20020401","0"
"4EL02","5C2","","20010401","0"
"4EM45","5HG","","20020401","0"
"4EP39","5MV","","20020401","0"
"4ET87","5J4","","20020401","0"
"4FC32","5D9","","20010401","0"
"4FD75","5K3","","20020401","0"
"4FF02","5KF","","20020401","0"
"4FG19","5LG","","20020401","0"
"4FK76","5A9","","20010401","0"
"4FL43","5JE","","20020401","0"
"4FP27","5F7","","20010401","0"
"4FQ86","5MK","","20020401","0"
"4FW03","5HY","","20020401","0"
"4FW44","5LD","","20020401","0"
"4GC50","5C4","","20010401","0"
"4GD64","5MV","","20020401","0"
"4GF40","5FL","","20010401","0"
"4GN78","5J9","","20020401","0"
"4GP22","5AT","","20010401","0"
"4GR95","5JX","","20020401","0"
"4HA75","5F5","","20010401","0"
"4HC06","5HY","","20020401","0"
"4HD99","5A4","","20010401","0"
"4HV14","5FL","","20010401","0"
"4HV31","5A5","","20010401","0"
"4JC46","5K5","","20020401","0"
